total,exact_matches,exact_match_rate,high_similarity_matches,high_similarity_rate,overall_matches,overall_match_rate,avg_similarity,avg_value_match_rate,prompt_type
4,1,0.25,1,0.25,1,0.25,0.6382,0.25,biopsygrading-int
1,0,0.0,0,0.0,0,0.0,0.3226,0.0,surgerymargins-int
4,0,0.0,0,0.0,0,0.0,0.4227,0.0,tumordepth-int
3,0,0.0,1,0.3333,1,0.3333,0.4936,0.0,biopsymitoticcount-int
1,1,1.0,1,1.0,1,1.0,1.0,,gender-int
1,0,0.0,0,0.0,0,0.0,0.0,0.0,reexcision-int
3,0,0.0,0,0.0,0,0.0,0.159,0.0,necrosis_in_biopsy-int
1,0,0.0,0,0.0,0,0.0,0.0,0.0,previous_cancer_treatment-int
5,0,0.0,1,0.2,1,0.2,0.3917,,chemotherapy_start-int
1,0,0.0,0,0.0,0,0.0,0.0,0.0,surgerytype-fs30-int
5,1,0.2,1,0.2,1,0.2,0.4056,,radiotherapy_start-int
4,0,0.0,0,0.0,0,0.0,0.0,0.0,recurrencetype-int
5,0,0.0,1,0.2,1,0.2,0.3091,0.3,radiotherapy_end-int
4,0,0.0,1,0.25,1,0.25,0.4744,,tumorbiopsytype-int
4,0,0.0,0,0.0,0,0.0,0.0,0.0,necrosis_in_surgical-int
4,0,0.0,2,0.5,2,0.5,0.7414,0.25,tumordiameter-int
9,4,0.4444,5,0.5556,5,0.5556,0.7333,0.4444,patient-status-int
5,0,0.0,0,0.0,0,0.0,0.1803,0.0,response-to-int
2,0,0.0,0,0.0,0,0.0,0.4727,0.0,stage_at_diagnosis-int
5,1,0.2,1,0.2,1,0.2,0.3968,,chemotherapy_end-int
1,0,0.0,0,0.0,0,0.0,0.0,,occurrence_cancer-int
4,0,0.0,1,0.25,1,0.25,0.3719,0.0,surgical-specimen-grading-int
1,1,1.0,1,1.0,1,1.0,1.0,1.0,ageatdiagnosis-int
4,2,0.5,3,0.75,3,0.75,0.8508,,recur_or_prog-int
4,0,0.0,2,0.5,2,0.5,0.7457,0.0,histological-tipo-int
4,0,0.0,0,0.0,0,0.0,0.0,0.0,surgical-mitotic-count-int
4,0,0.0,0,0.0,0,0.0,0.249,0.0,tumorsite-int
